Dataset Title,API Field Name,Description,Data Type
Census Field Descriptions,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Core Based Statistical Area in Colorado 2011,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Blocks in Colorado 2000,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census State in Colorado 2011,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Zip Codes in Colorado 2016,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Combined Statistical Area in Colorado 2011,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Counties in Colorado 2016,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Places in Colorado 2015,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Tracts in Colorado 2016,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Block Groups in Colorado 2017,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Congressional Districts in Colorado 2013,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Places in Colorado 2011,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Block Groups SF3 in Colorado 2000,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Counties SF1 in Colorado 2000,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Core Based Statistical Area in Colorado 2012,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census State of Colorado 2013,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Datasets on Colorado Information Marketplace,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Zip Codes in Colorado 2014,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Zip Codes in Colorado 2010,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Counties in Colorado 2010,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census State in Colorado 2010,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census School Districts in Colorado 2012,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Tracts in Colorado 2011,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Blocks in Colorado 2010,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Counties in Colorado 2012,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census in Colorado 2015,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Counties in Colorado 2013,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Census Tracts in Colorado 2012,,All Fields: https://data.colorado.gov/dataset/Census-Field-Descriptions/qten-sdpn/data,
Construction Projects Endpoints for Funded Roads in Colorado 2017,saplongid,CDOT project ID code with appended record ID,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,SAPPROJECT,,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,project_id,CDOT project ID code,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Point
Construction Projects Endpoints for Funded Roads in Colorado 2017,SAPPROJE_1,,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,saprecid,Location record ID,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,route,CDOT route ID,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,refpt,Begin reference point (milepost),Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,endrefpt,End reference point (milepost),Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,beginx,Begin X coordinate in UTM zone 13 meters,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,beginy,Begin Y coordinate in UTM zone 13 meters,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,endx,End X coordinate in UTM zone 13 meters,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,endy,End Y coordinate in UTM zone 13 meters,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,guid,Internal ID,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,lrs_date,Date of last GIS edit,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,tpr,Project exists in theseTransportation Planning Regions,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,mpo,Project exists in these Metropolitan Planning Organizations,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,proj_pspid,,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzconshd_endate,,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzproj_endate,,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzf_imp_cd,Federal Improvement Type Code,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzac_ad_dt,Actual Advertisement Date,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzshelf_dt,Re-Advertisement Date,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzactletdate,,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzconexdate,,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzest_pcd,Initial Completion Date,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,ztp_arra_pspid,,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,zconstrtdate,,Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,fedimpcode,Federal Improvement Code,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,fedimpdesc,Federal Improvement Code description,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,laneq,Amount of lanes,Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,rdcf,"Facility Type: F=Freeway, D=Divided, U=Undivided",Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,rdcs,"Functional system (FHWA functional class): 1=Interstate, 2=Principal Arterial - Freeways and Expressways, 3=Principal Arterial - Other, 4=Minor Arterial, 5=Major Collector, 6=Minor Collector, 7=Local",Number
Construction Projects Endpoints for Funded Roads in Colorado 2017,rdcr,Rural/Urban code: R=Rural 1-3= Small to Large Urban Areas,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,countydesc,FIPS counties,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,congdist,Congressional districts,Text
Construction Projects Endpoints for Funded Roads in Colorado 2017,commdist,CDOT Commission Districts,Text
Charitable Purpose of the Charity in Colorado,entityid,Entity Id,Number
Charitable Purpose of the Charity in Colorado,fein,Federal Employer Identification Number,Plain Text
Charitable Purpose of the Charity in Colorado,name,Charitable Organization,Plain Text
Charitable Purpose of the Charity in Colorado,statementofpurpose,Statement of charitable purpose of charity and description of program services,Plain Text
Cities in Colorado,shape_star,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source",Number
Cities in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Cities in Colorado,city_name,Name of the city,Text
Cities in Colorado,city_fips,City fips code,Number
Cities in Colorado,shape_stle,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source",Number
Cities in Colorado,shape_st_1,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source",Number
Cities in Colorado,shape_st_2,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source",Number
Professional and Occupational Licenses in Colorado,lastname,Last name of licence holder,Plain Text
Professional and Occupational Licenses in Colorado,firstname,First name of licence holder,Plain Text
Professional and Occupational Licenses in Colorado,middlename,Middle name of licence holder,Plain Text
Professional and Occupational Licenses in Colorado,suffix,Suffix name of licence holder,Plain Text
Professional and Occupational Licenses in Colorado,entityname,City provided by license holder,Plain Text
Professional and Occupational Licenses in Colorado,city,State provided by license holder,Plain Text
Professional and Occupational Licenses in Colorado,mailzipcode,Zip provided by license holder,Plain Text
Professional and Occupational Licenses in Colorado,licensetype,Type of license or professional certification with the state,Plain Text
Professional and Occupational Licenses in Colorado,subcategory,Sub type of license or division of professional certification with the state,Plain Text
Professional and Occupational Licenses in Colorado,licensenumber,Unique number assigned to license holder,Plain Text
Professional and Occupational Licenses in Colorado,licensefirstissuedate,First date licence holder obtained license,Plain Text
Professional and Occupational Licenses in Colorado,licenselastreneweddate,Most recent date licence holder's licence became effective,Date & Time
Professional and Occupational Licenses in Colorado,licenseexpirationdate,Expected expiration (and upcoming renewal date) licence holder's licence became effective,Date & Time
Professional and Occupational Licenses in Colorado,licensestatusdescription,Specialty of license holder,Date & Time
Professional and Occupational Licenses in Colorado,specialty,Current status of license,Plain Text
Professional and Occupational Licenses in Colorado,title,Title of license holder,Plain Text
Professional and Occupational Licenses in Colorado,degrees,Degree of license holder,Plain Text
Professional and Occupational Licenses in Colorado,casenumber,"Case Number, if present, is the case tracking number of a public action that may be attached to a record",Plain Text
Professional and Occupational Licenses in Colorado,programaction,"Program Action, if present, is the type of public action that has been levied on a record",Plain Text
Professional and Occupational Licenses in Colorado,disciplineeffectivedate,Effective date of the action,Plain Text
Professional and Occupational Licenses in Colorado,disciplinecompletedate,Completion date of the action if it is a limited term action,Plain Text
Professional and Occupational Licenses in Colorado,linktoverifylicense,URL to html page with dynamically updated details about the individual license,Plain Text
Professional and Occupational Licenses in Colorado,linktoviewhealthcareprofile,URL to html page with dynamically updated details about the Healthcare Professional,Website Url
Professional and Occupational Licenses in Colorado,state,State provided by license holder,Website Url
HOV and Restricted Driving Lanes in Colorado,fips,"A Domained Value Element (FIPS) Federal Information Processing Standard used to identify uniquely identify cities and counties equivalents in the United States, certain U.S. possessions, and certain freely associated states. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/FIPS",Number
HOV and Restricted Driving Lanes in Colorado,route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/Route",Plain Text
HOV and Restricted Driving Lanes in Colorado,segmid,A number representing the segment ID of a road marker. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/segmID,Number
HOV and Restricted Driving Lanes in Colorado,length_,The Centerline Segment Length or Segment Distance (in Miles) to the Thousandth of a Mile. Length_ is the distance from one Road Segment to the next Road Segment. Length_ is a dimension or measurement that is carried out 3-decimal places. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/Length_,Number
HOV and Restricted Driving Lanes in Colorado,updateyr,The Last Calendar year for which the data applies. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/updateYr,Number
HOV and Restricted Driving Lanes in Colorado,fipscounty,"A Domained 3-Digit County Code (FIPS, DisplayValue) that Identifies the County in which the individual record is located. (Assigned based on Federal Information Processing Standards). http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/FIPSCounty",Number
HOV and Restricted Driving Lanes in Colorado,hovtype,The HOV Lane Type. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/HOVType,Number
HOV and Restricted Driving Lanes in Colorado,hovlnqty,"The Number of individual thru lanes that have High-Occupancy Lanes, Restricted Lanes, Reversible Lanes, Express or Toll Lanes on the roadway segment. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/hovLnQty",Number
HOV and Restricted Driving Lanes in Colorado,tollid,"A 2-Digit Numeric coded value (tollID) used to Identify the Facility Name, Highway Name or Tollway Name of the Road Segment. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/tollID",Number
HOV and Restricted Driving Lanes in Colorado,tolltype,"A 1-Digit Numeric coded value (tollType) used to define Toll Lanes, (HOT) Lanes or Non-Toll Lanes on a road segment. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/tollType",Number
HOV and Restricted Driving Lanes in Colorado,tollcharged,A 1-Digit Numeric coded value (tollCharged) used to Identify if the road segment has a toll charge on both directions of travel or only charge on one direction of travel. http://dtdapps.coloradodot.info/otis/catalog/CICOHOVT/tollCharged,Number
HOV and Restricted Driving Lanes in Colorado,lrsroute,A Unique Route Identification Code used in the run-length based LRS that is submitted to HPMS,Plain Text
HOV and Restricted Driving Lanes in Colorado,frommeas,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Starting Point of a roadway segment.,Number
HOV and Restricted Driving Lanes in Colorado,tomeas,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Ending Point of a roadway Segment. Based on a validated run-length measure of a segment along a Route.,Number
Parks and Rec Districts in Colorado ,lgid,DOLA generated uninque identifier for a special district,Text
Parks and Rec Districts in Colorado ,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Parks and Rec Districts in Colorado ,lgname,Name of Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,source,Original source where boundary data was collected,Text
Parks and Rec Districts in Colorado ,lgtypeid,DOLA generated type code. 7 = Parks and Recreation District,Text
Parks and Rec Districts in Colorado ,lgstatusid,"DOLA generated status ID code. 1	= Active, 2= Consolidated, 3 = Dissolved, 4 = Multi-county, 5 = Single-county, 6 = Pending Formation, 7 = Pending Dissolution",Text
Parks and Rec Districts in Colorado ,abbrev_nam,Abbreviated name of Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,mail_addre,Mailing address for Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,alt_addres,Alternate address for Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,mail_city,City of Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,mail_state,State of Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,mail_zip,Zipcode of Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,url,Website address for Parks and Recreation district,Text
Parks and Rec Districts in Colorado ,prev_name,Previous name of Parks and Recreation district if it was renamed,Text
Noxious Weeds in Colorado 2010,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multiline
Noxious Weeds in Colorado 2010,collector,Name of the Collector,Text
Noxious Weeds in Colorado 2010,date_,"The date and time of collection of data, of the form: mm/dd/YYYY HH:MM:SS AM TIMEZONE (eg 07/29/2013 01:00:00 AM -0600)",Date
Noxious Weeds in Colorado 2010,section_,"[need clarification, 1-8]",Text
Noxious Weeds in Colorado 2010,patrol,"[need clarification, 0-99]",Number
Noxious Weeds in Colorado 2010,route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West.",Text
Noxious Weeds in Colorado 2010,row_width,"The width of the row of noxious weeds (from 0-550) [need clarification, units?]",Number
Noxious Weeds in Colorado 2010,primary_wd,"Name of the primary weed of the row [need clarification, common name?]",Text
Noxious Weeds in Colorado 2010,pw_cover,The percentage range of the primary weed coverage (eg 20-40%),Text
Noxious Weeds in Colorado 2010,pw_contain,"[need clarification, no or yes]",Text
Noxious Weeds in Colorado 2010,second_wd,"Name of the secondary weed of the row [need clarification, common name?]",Text
Noxious Weeds in Colorado 2010,sw_cover,The percentage range of the secondary weed coverage (eg 20%),Text
Noxious Weeds in Colorado 2010,sw_contain,"[need clarification, no or yes]",Text
Noxious Weeds in Colorado 2010,comments,Comments about the record (eg not here),Text
Noxious Weeds in Colorado 2010,buff_dist,[need clarification] (from 0.5 to 200),Number
Noxious Weeds in Colorado 2010,zone_,"[need clarification, zone 1 (0-30’), zone 2 (>30’), zones 1 & 2]",Text
Noxious Weeds in Colorado 2010,sprayequip,Type of equipment used to spray the weeds,Text
Noxious Weeds in Colorado 2010,rcvr_type,[need clarification],Text
Noxious Weeds in Colorado 2010,gps_date,"Date on the GPS, YYYY-mm-dd (eg 2010-09-30)",Date
Noxious Weeds in Colorado 2010,gps_time,"Time on the GPS, HH:MM:SSam (eg 08:46:20am)",Text
Noxious Weeds in Colorado 2010,gps_length,"Length of the noxious weed segment [need clarification, units?]",Number
Noxious Weeds in Colorado 2010,avg_horz_p,"[need clarification, 0-45.3]",Number
Noxious Weeds in Colorado 2010,shape_len,Geometric length of the line segment,Number
Noxious Weeds in Colorado 2010,datafile,{no longer supported} The filename of the Trimble GPS file for each record,
Noxious Weeds in Colorado 2010,road_type,"{no longer supported} [need clarification, 01 or 02]",
Noxious Weeds in Colorado 2010,weedlistca,{no longer supported},
Gasoline Prices in Colorado,date,"Date of prices, gathered weekly",Date & Time
Gasoline Prices in Colorado,allgradesgasprice,The price for all grades of gasoline per gallon,Money
Gasoline Prices in Colorado,regulargasprice,Price of regular gasoline per gallon,Money
Gasoline Prices in Colorado,midgradegasprice,Price of mid-grade gasoline per gallon,Money
Gasoline Prices in Colorado,premiumgasprice,Price of premium gasoline per gallon,Money
Uniform Commercial Code (UCC) Debtor Information in Colorado,debtorid,The state assigned identification number (unique) for the debtor. Changes from source: Removed new lines from source file.,Number
Uniform Commercial Code (UCC) Debtor Information in Colorado,fileid,"Primary key link between filing, debtor, secured party, and collateral information. The state assigned identification number (unique) for the collateral entity.",Number
Uniform Commercial Code (UCC) Debtor Information in Colorado,actiontypecode,"Type of action being performed when this collateral is recorded (A=add, B=change and delete, C=change only, D=delete only)",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,actiontype,"Full description of type of action being performed when this debtor is recorded (A=add, B=change and delete, C=change only, D=delete only)",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,actionreferenceid,The coll_id for the collateral item related to the record.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,recordstatuscode,"Designated codifier for inactive or active. If there was a change made that impacted the record, then the old listing associated becomes inactive. If a listing is 'deleted' from a filing, it is also listed as inactive.",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,recordstatus,"Inactive or active designation, full description. If there was a change made that impacted the record, then the old listing associated becomes inactive. If a listing is 'deleted' from a filing, it is also listed as inactive.",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,debtordescription,"Description of the debtor's relationship to debt holder or other administrator. Collateral is being administered by a Decedent's Personal Representative or is held in a Trust or the debtor is: a decendent's estate, is a transmitting utility, a trust, is a trustee acting with respect to property held in a trust.",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,lastname,Last name of debtor.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,firstname,First name of debtor.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,middlename,Middle name of debtor.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,suffix,suffix,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,organizationname,"Estate, trust, farm or other administrative group.",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,organizationjurisdiction,State or other region of the organization.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,organizationtype,"LLC, Corporation, Partnership, Nonprofit, Government Entity are common categories among over 3,000 unique entries in this field.",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,organizationid,Id for organization optional.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,address1,Address of debtor and/or organization.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,address2,Address of debtor and/or organization.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,city,City of debtor and/or organization.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,state,State of debtor and/or organization.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,country,Country of debtor and/or organization.,Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,zipcode,"Zip code of trade name debtor and/or organization. Changes from source: If full nine digit zip code is given, this field is shortened to the first five digits.",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,zipcode4,"Zip code plus 4 of trade name debtor and/or organization. Changes from source: If full nine digit zip code is given, this field is shortened to the last four digits.",Plain Text
Uniform Commercial Code (UCC) Debtor Information in Colorado,efsuniqueid,The unique identifier is a system-generated ID number; only required if the filing is an EFS filing,Number
Biomass Potential in Colorado 2014,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Biomass Potential in Colorado 2014,cnty_name,The name of the county being examined,Text
Biomass Potential in Colorado 2014,state_name,The name of the state the county resides in,Text
Biomass Potential in Colorado 2014,fips,The county FIPS code,Text
Biomass Potential in Colorado 2014,cropres,"This field illustrates the harvesting crop residues from corn, wheat, soybeans, cotton, sorghum, barley, oats, rice, rye, canola, dry edible beans, peanuts, safflower, sunflower, sugarcane, and flaxseed by county. The crop residues are estimated using total crop production (data from USDA 2012 Census), crop to residue ratio, and moisture content. It is assumed that only 35% of the total residue could be collected as biomass. The remaining portion is to be left on the field to maintain ecological and agricultural functions. Data for 2012, in dry metric tons/year.",Number
Biomass Potential in Colorado 2014,urbanwood,"This field illustrates the urban wood waste by county - wood material from MSW (wood chips and pallets), utility tree trimming and/or private tree companies, and construction and demolition sites. Data for 2012, in dry metric tons/year.",Number
Biomass Potential in Colorado 2014,secmill,"This field contains data for secondary mill residues by county (wood scraps and sawdust from woodworking shops — furniture factories, wood container and pallet mills, and wholesale lumber yards). Data for 2012, in dry metric tons/year.",Number
Biomass Potential in Colorado 2014,forestres,"This category includes logging residues and other removable material left after carrying out silviculture operations and site conversions. Logging residue comprises unused portions of trees, cut or killed by logging and left in the woods. Other removables are the unutilized wood volume of trees cut or otherwise killed by cultural operations (e.g. pre-commercial thinnings) or land-clearings to non-forest uses. This data illustrates 65% of logging residues and 50% of other removals which is the portion that could be collected as biomass. The remaining portion is to be left on the field to maintain ecological functions. Source: USDA, Forest Service's Timber Product Output database, 2012. Data in dry metric tons/year.",Number
Biomass Potential in Colorado 2014,primmill,"This field contains data on primary mill residues by county. Primary mill residues include wood materials (coarse and fine) and bark generated at manufacturing plants (primary wood-using mills) when round wood products are processed into primary wood products, such as slabs, edgings, trimmings, sawdust, veneer clippings and cores, and pulp screenings. This data illustrates the total amount of primary mill residues (used and unused) by county. Note that most of this resource is currently utilized. Source: USDA, Forest Service's Timber Product Output database, 2012. Data in dry metric tons/year.",Number
Biomass Potential in Colorado 2014,total,"This field combines all solid biomass resources by county: crop residues, forest residues, primary mill residues, secondary mill residues, and urban wood waste. Data for 2012, in dry metric tons/year.",Number
Road Surface Treatment Projects in Colorado 2016,fy,Projected year for the project,Number
Road Surface Treatment Projects in Colorado 2016,region,"CDOT region, value 1-5",Number
Road Surface Treatment Projects in Colorado 2016,highway,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West.",Plain Text
Road Surface Treatment Projects in Colorado 2016,bmp,Beginning Mile Point,Plain Text
Road Surface Treatment Projects in Colorado 2016,emp,Ending Mile Point,Plain Text
Road Surface Treatment Projects in Colorado 2016,centerlength,Distance from centerlength to extent of right of way for segment,Number
Road Surface Treatment Projects in Colorado 2016,description,Description of reason for maintenance and/or the region that is affected.,Plain Text
Road Surface Treatment Projects in Colorado 2016,estimate,Price estimate in U.S. dollars,Money
Road Surface Treatment Projects in Colorado 2016,treatmentcategory,"Category of the treatment (Minor Rehab, Major Rehab, Prev Mtc, Reconstruction, Chip Seal, Ultra Thin)",Plain Text
Road Surface Treatment Projects in Colorado 2016,pavementtrafficcategory,"Description of the amount of traffic through the road: Interstate, High Volume (>4,000 cars or >1,000 trucks per day), Medium Volume (between 2,000 and 4,000 cars and/or 100 and 1,000 trucks), Low Volume (<2,000 cars and <100 trucks)",Plain Text
Cemetary Distrticts in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Cemetary Distrticts in Colorado,lgid,DOLA generated uninque identifier for a special district,Text
Cemetary Distrticts in Colorado,source,Original source where boundary data was collected,Text
Cemetary Distrticts in Colorado,lgname,Name of Parks and Recreation district,Text
Cemetary Distrticts in Colorado,lgtypeid,DOLA generated type code. 7 = Parks and Recreation District,Text
Cemetary Distrticts in Colorado,lgstatusid,"DOLA generated status ID code. 1	= Active, 2= Consolidated, 3 = Dissolved, 4 = Multi-county, 5 = Single-county, 6 = Pending Formation, 7 = Pending Dissolution",Text
Cemetary Distrticts in Colorado,abbrev_nam,Abbreviated name of Cemetary district,Text
Cemetary Distrticts in Colorado,mail_addre,Mailing address for Cemetary district,Text
Cemetary Distrticts in Colorado,alt_addres,Alternate address for Cemetary district,Text
Cemetary Distrticts in Colorado,mail_city,City of Cemetary district,Text
Cemetary Distrticts in Colorado,mail_state,State of Cemetary district,Text
Cemetary Distrticts in Colorado,mail_zip,Zipcode of Cemetary district,Text
Cemetary Distrticts in Colorado,url,Website address for Cemetary district,Text
Cemetary Distrticts in Colorado,prev_name,Previous name of Parks and Recreation district if it was renamed,Text
Sales Rooms in Colorado,licensee_name,Name of brewery winery distillery sales room,
Sales Rooms in Colorado,doing_business_as,DBA is commonly known name,Plain Text
Sales Rooms in Colorado,license_type,"Type of sales room: wine, spirits, or malt",Plain Text
Sales Rooms in Colorado,license_number,Registered license number issued to the location,Plain Text
Sales Rooms in Colorado,expiration,Expiration date of the sales room liquor license,Number
Sales Rooms in Colorado,street_address,Street address of sales room point of sale,Date & Time
Sales Rooms in Colorado,city,"City of brewery, winery, or distiller",Plain Text
Sales Rooms in Colorado,state,State of sales room point of sale,Plain Text
Sales Rooms in Colorado,zip,Zip of sales room point of sale,Plain Text
Sales Rooms in Colorado,location,Geocoded location for licensee,Number
Highway Milepoints in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Point
Highway Milepoints in Colorado,calyr,The current calendar year.,Text
Highway Milepoints in Colorado,refpt,"The number of the mileage point. CDOT linear reference points, analogous to mileposts.",Number
Highway Milepoints in Colorado,route,"The number designating the State Route, including a section identifier designated by a letter for the State database. CDOT currently doesn’t publish a list describing each CDOT route.",Text
Highway Milepoints in Colorado,descriptio,“MILEPOST” with the number of the mileage point added.,Text
Highway Milepoints in Colorado,updateyr,The updated (previous) calendar year,Text
Race Forecasts in Colorado,id,Unique identifier for the record,Number
Race Forecasts in Colorado,county,County of forecast,Plain Text
Race Forecasts in Colorado,county_fips,Federal Information Processing Standards code for the county,Number
Race Forecasts in Colorado,year,Year of forecast,Number
Race Forecasts in Colorado,age,Single year age for forecast,Number
Race Forecasts in Colorado,race,Race of forecast,Plain Text
Race Forecasts in Colorado,count,"Forecast of population by acounty, year, age, and race",Number
Secured Party Information in Colorado,spid,Unique identifier for Secured Party,Number
Secured Party Information in Colorado,fileid,"Primary key link between filing, debtor, secured party, and collateral information",Number
Secured Party Information in Colorado,actiontypecode,"Type of action being performed when this secured party is recorded (A=add, B=change and delete, C=change only, D=delete only)",Plain Text
Secured Party Information in Colorado,actiontype,Type of action being performed when this secured party is recorded.,Plain Text
Secured Party Information in Colorado,actionrefid,Action reference Id contains the sp_id for the secured party that this change or delete affects.,Plain Text
Secured Party Information in Colorado,recordstatuscd,"Designation of inactive or active. If there was a change made that impacted the record, then the old listing associated becomes inactive. If a listing is 'deleted' from a filing, it is also listed as inactive.",Plain Text
