Dataset Title,API Field Name,Description
Highway Traffic Counts in Colorado 2014,dd,The percentage of the design hour value flowing in the peak direction.
Highway Traffic Counts in Colorado 2014,routecapac,The maximum number of vehicles which has a reasonable expectation of passing over a given section of lane or roadway during a given time period under prevailing roadway and traffic conditions per the Highway Capacity Manual.
Highway Traffic Counts in Colorado 2014,edla,"An equivalent axle load factor (EALF) defines the damage per pass to a pavement by the axle in question relative to the damage per pass of a standard axle load, usually the 18-kip single-axle load. Pavement design parameter."
Highway Traffic Counts in Colorado 2014,vcratio,"The hourly traffic volume divided by the capacity of the segment. Thus, the volume/capacity ratio measure can be assumed to measure capacity sufficiency and delay is a measure of the quality of service."
Highway Traffic Counts in Colorado 2014,vcratio20,The 20 year projection for the VCRATIO value.
Highway Traffic Counts in Colorado 2014,roadterrai,A Domained Value Element (terrain 0-3) used to identify the Predominant type of terrain through which the road segment passes as specified by AASHTO.
Highway Traffic Counts in Colorado 2014,seasonalgr,"A Domained Numeric Designation (seasonalGroupID, 1-7) indicating the Coded Value associated with a list of Seasonal Variations used for short term data calculations."
Highway Traffic Counts in Colorado 2014,countstati,A 6-Digit Numeric Designation or Identification Number that Represents the Location where Independent Traffic Volume Groups and Data Collection Efforts are being performed on a Road Segment.
Highway Traffic Counts in Colorado 2014,calyr,The calendar year in which the database record was changed.
Highway Traffic Counts in Colorado 2014,pctpksu,Percentage of AADT for single unit trucks during the Peak Hour.
Highway Traffic Counts in Colorado 2014,pctpkcomb,Percentage of AADT for Combination Trucks During the Peak Hour.
Highway Traffic Counts in Colorado 2014,pctoffpksu,Percentage of AADT for Single Unit Trucks During Off-Peak Periods
Highway Traffic Counts in Colorado 2014,pctoffpkco,Percentage of AADT for Combination Trucks During Off-Peak Periods
Highway Traffic Counts in Colorado 2014,aadttrucks,Annual Average Daily Traffic for Trucks
Highway Traffic Counts in Colorado 2014,objectid_1,Can be disregarded
Highway Traffic Counts in Colorado 2014,shape_len,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source"
Electricity Net Metering by Utility in US,year,Year data was recorded
Electricity Net Metering by Utility in US,month,Numeric digit corresponding to the month data was recorded
Electricity Net Metering by Utility in US,state,Two digit state abbreviation where data was reported
Electricity Net Metering by Utility in US,utilitynumber,Unique identifier for utility company
Electricity Net Metering by Utility in US,utilityname,Name of utility company
Electricity Net Metering by Utility in US,datastatus,Status of data collected either preliminary or final. Preliminary data is subject to change
Electricity Net Metering by Utility in US,type,Alternate or Direct Current
Electricity Net Metering by Utility in US,residentialcapacityphotovoltaic,Photovoltaic capacity for the residential sector reported in MW
Electricity Net Metering by Utility in US,commercialcapacityphotovoltaic,Photovoltaic capacity for the commercial sector reported in MW
Electricity Net Metering by Utility in US,industrialcapacityphotovoltaic,Photovoltaic capacity for the industrial sector reported in MW
Electricity Net Metering by Utility in US,transportationcapacityphotovoltaic,Photovoltaic capacity for the transportation sector reported in MW
Electricity Net Metering by Utility in US,totalcapacityphotovoltaic,Photovoltaic capacity for all sectors reported in MW
Electricity Net Metering by Utility in US,residentialcustomerphotovoltaic,Count of residential customers utilizing photovoltaic energy by utility name
Electricity Net Metering by Utility in US,commercialcustomerphotovoltaic,Count of commercial customers utilizing photovoltaic energy by utility name
Electricity Net Metering by Utility in US,industrialcustomerphotovoltaic,Count of industrial customers utilizing photovoltaic energy by utility name
Electricity Net Metering by Utility in US,transportationcustomerphotovoltaic,Count of transportation customers utilizing photovoltaic energy by utility name
Electricity Net Metering by Utility in US,totalcustomerphotovoltaic,Count of all sector's customers utilizing photovoltaic energy by utility name
Electricity Net Metering by Utility in US,residentialstoragecapacityphotovoltaic,Photovoltaic storage capacity for the residential sector reported in MW
Electricity Net Metering by Utility in US,commercialstoragecapacityphotovoltaic,Photovoltaic storage capacity for the commercial sector reported in MW
Electricity Net Metering by Utility in US,industrialstoragecapacityphotovoltaic,Photovoltaic storage capacity for the industrial sector reported in MW
Electricity Net Metering by Utility in US,transportationstoragecapacityphotovoltaic,Photovoltaic storage capacity for the transportation sector reported in MW
Electricity Net Metering by Utility in US,totalstoragecapacityphotovoltaic,Photovoltaic storage capacity for all sectors reported in MW
Electricity Net Metering by Utility in US,residentialstoragecustomerphotovoltaic,Count of residential customers with storage for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,commercialstoragecustomerphotovoltaic,Count of commercial customers with storage for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,industrialstoragecustomerphotovoltaic,Count of industrial customers with storage for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,transportationstoragecustomerphotovoltaic,Count of transportation customers with storage for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,totalstoragecustomerphotovoltaic,Count of all customers with storage for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,residentialvirtualcapacityphotovoltaic,Photovoltaic virtual capacity for the residential sector reported in MW
Electricity Net Metering by Utility in US,commercialvirtualcapacityphotovoltaic,Photovoltaic virtual capacity for the commercial sector reported in MW
Electricity Net Metering by Utility in US,industrialvirtualcapacityphotovoltaic,Photovoltaic virtual capacity for the industrial sector reported in MW
Electricity Net Metering by Utility in US,transportationvirtualcapacityphotovoltaic,Photovoltaic virtual capacity for the transportation sector reported in MW
Electricity Net Metering by Utility in US,totalvirtualcapacityphotovoltaic,Photovoltaic virtual capacity for all sectors reported in MW
Electricity Net Metering by Utility in US,residentialvirtualcustomerphotovoltaic,Count of residential virtual customers for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,commercialvirtualcustomerphotovoltaic,Count of commercial virtual customers for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,industrialvirtualcustomerphotovoltaic,Count of industrial virtual customers for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,transportationvirtualcustomerphotovoltaic,Count of transportation virtual customers for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,totalvirtualcustomerphotovoltaic,Count of all virtual customers for photovoltaic energy by utility name
Electricity Net Metering by Utility in US,residentialsoldbackphotovoltaic,Photovoltaic energy sold back in the residential sector reported in MWh
Electricity Net Metering by Utility in US,commercialsoldbackphotovoltaic,Photovoltaic energy sold back in the commercial sector reported in MWh
Electricity Net Metering by Utility in US,industrialsoldbackphotovoltaic,Photovoltaic energy sold back in the industrial sector reported in MWh
Electricity Net Metering by Utility in US,transportationsoldbackphotovoltaic,Photovoltaic energy sold back in the transportation sector reported in MWh
Electricity Net Metering by Utility in US,totalsoldbackphotovoltaic,Photovoltaic energy sold back in all sectors reported in MWh
Electricity Net Metering by Utility in US,residentialcapacitywind,Wind energy capacity for the residential sector reported in MW
Electricity Net Metering by Utility in US,commercialcapacitywind,Wind energy capacity for the commercial sector reported in MW
Electricity Net Metering by Utility in US,industrialcapacitywind,Wind energy capacity for the industrial sector reported in MW
Electricity Net Metering by Utility in US,transportationcapacitywind,Wind energy capacity for the transportation sector reported in MW
Electricity Net Metering by Utility in US,totalcapacitywind,Wind energy capacity for all sectors reported in MW
Electricity Net Metering by Utility in US,residentialcustomerwind,Count of residential customers utilizing wind energy by utility name
Electricity Net Metering by Utility in US,commercialcustomerwind,Count of commercial customers utilizing wind energy by utility name
Electricity Net Metering by Utility in US,industrialcustomerwind,Count of industrial customers utilizing wind energy by utility name
Electricity Net Metering by Utility in US,transportationcustomerwind,Count of transportation customers utilizing wind energy by utility name
Electricity Net Metering by Utility in US,totalcustomerwind,Count of all sector's customers utilizing wind energy by utility name
Electricity Net Metering by Utility in US,residentialsoldbackwind,Wind energy sold back in the residential sector reported in MWh
Electricity Net Metering by Utility in US,commercialsoldbackwind,Wind energy sold back in the commercial sector reported in MWh
Electricity Net Metering by Utility in US,industrialsoldbackwind,Wind energy sold back in the industrial sector reported in MWh
Electricity Net Metering by Utility in US,transportationsoldbackwind,Wind energy sold back in the transportation sector reported in MWh
Electricity Net Metering by Utility in US,totalsoldbackwind,Wind energy sold back in all sectors reported in MWh
Electricity Net Metering by Utility in US,residentialcapacityother,Other energy capacity for the residential sector reported in MW
Electricity Net Metering by Utility in US,commercialcapacityother,Other energy capacity for the commercial sector reported in MW
Electricity Net Metering by Utility in US,industrialcapacityother,Other energy capacity for the industrial sector reported in MW
Electricity Net Metering by Utility in US,transportationcapacityother,Other energy capacity for the transportation sector reported in MW
Electricity Net Metering by Utility in US,totalcapacityother,Other energy capacity for all sectors reported in MW
Electricity Net Metering by Utility in US,residentialcustomerother,Count of residential customers utilizing other energy by utility name
Electricity Net Metering by Utility in US,commercialcustomerother,Count of commercial customers utilizing other energy by utility name
Electricity Net Metering by Utility in US,industrialcustomerother,Count of industrial customers utilizing other energy by utility name
Electricity Net Metering by Utility in US,transportationcustomerother,Count of transportation customers utilizing other energy by utility name
Electricity Net Metering by Utility in US,totalcustomerother,Count of all sector's customers utilizing other energy by utility name
Electricity Net Metering by Utility in US,residentialsoldbackother,Other energy sold back in the residential sector reported in MWh
Electricity Net Metering by Utility in US,commercialsoldbackother,Other energy sold back in the commercial sector reported in MWh
Electricity Net Metering by Utility in US,industrialsoldbackother,Other energy sold back in the industrial sector reported in MWh
Electricity Net Metering by Utility in US,transportationsoldbackother,Other energy sold back in the transportation sector reported in MWh
Electricity Net Metering by Utility in US,totalsoldbackother,Other energy sold back in all sectors reported in MWh
Electricity Net Metering by Utility in US,residentialcapacityall,Total energy capacity for the residential sector reported in MW
Electricity Net Metering by Utility in US,commercialcapacityall,Total energy capacity for the commercial sector reported in MW
Electricity Net Metering by Utility in US,industrialcapacityall,Total energy capacity for the industrial sector reported in MW
Electricity Net Metering by Utility in US,transportationcapacityall,Total energy capacity for the transportation sector reported in MW
Electricity Net Metering by Utility in US,totalcapacityall,Total energy capacity for all sectors reported in MW
Electricity Net Metering by Utility in US,residentialcustomerall,Count of residential customers utilizing all energy types by utility name
Electricity Net Metering by Utility in US,commercialcustomerall,Count of commercial customers utilizing all energy types by utility name
Electricity Net Metering by Utility in US,industrialcustomerall,Count of industrial customers utilizing all energy types by utility name
Electricity Net Metering by Utility in US,transportationcustomerall,Count of transportation customers utilizing all energy types by utility name
Electricity Net Metering by Utility in US,totalcustomerall,Count of all sector's customers utilizing all energy types by utility name
Electricity Net Metering by Utility in US,residentialsoldbackall,Total energy sold back in the residential sector reported in MWh
Electricity Net Metering by Utility in US,commercialsoldbackall,Total energy sold back in the commercial sector reported in MWh
Electricity Net Metering by Utility in US,industrialsoldbackall,Total energy sold back in the industrial sector reported in MWh
Electricity Net Metering by Utility in US,transportationsoldbackall,Total energy sold back in the transportation sector reported in MWh
Electricity Net Metering by Utility in US,totalsoldbackall,Total energy sold back in all sectors reported in MWh
State Highway On-System Curb Ramps in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.
State Highway On-System Curb Ramps in Colorado,refpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Starting Point of a roadway segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true measure) of a roadway segment along a State Route. http://dtdapps.coloradodot.info/otis/catalog/ClassOn/RefPt
State Highway On-System Curb Ramps in Colorado,rampid,"A unique ID for the ramp, combining (in order) the route, refpt, and des1 with an _ in between each piece of data."
State Highway On-System Curb Ramps in Colorado,route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West. http://dtdapps.coloradodot.info/otis/catalog/CondOn/Route"
State Highway On-System Curb Ramps in Colorado,des1,"Designation ID in counter-clockwise order: edges of street, medians, inner islands, center island"
State Highway On-System Curb Ramps in Colorado,is_existing,Does a curb ramp exist? Yes/No
State Highway On-System Curb Ramps in Colorado,is_near,"Is the curb ramp located near a Priority 1 location i.e. hospital, school, transit stop, government building, etc.? Yes/No\"
State Highway On-System Curb Ramps in Colorado,is_sidewalk,Is a sidewalk present? Yes/No
State Highway On-System Curb Ramps in Colorado,is_ped_path,Is a discernible path present? Yes/No
State Highway On-System Curb Ramps in Colorado,review,Does this location require conformance review? Yes/No
State Highway On-System Curb Ramps in Colorado,is_turning_s,Is there a turning space (48x48)? Yes/No
State Highway On-System Curb Ramps in Colorado,is_flush,"Is the transition flush? Yes/No 1/4"" vertical or 1/2"" beveled 2:1 ratio"
State Highway On-System Curb Ramps in Colorado,is_protecte,Are the side(s) of the curb ramp protected from cross travel or protected by a barrier? Yes/No/Null=NA
State Highway On-System Curb Ramps in Colorado,is_contrast,Is there truncated dome color contrast? Yes/No (Light on dark or dark on light)
State Highway On-System Curb Ramps in Colorado,is_ped_signa,Is there a pedestrian signal? Yes/No
State Highway On-System Curb Ramps in Colorado,is_button_ac,"Within 5' of curb ramp? Between 1.5' & 6' or 10' max from edge of curb? Adjacent to 4'x4' area with 2% cross slope? <=10"" side reach? Is there an accessible route from the curb ramp to the ped push button? Yes/No"
State Highway On-System Curb Ramps in Colorado,button_type,"CF = Closed fist, TA = Tactile, OS = Old style, VI = Vibrates, LT = Locator tone i.e. OS;OS for 2 buttons"
State Highway On-System Curb Ramps in Colorado,gis_x,Longitude of the curb ramp
State Highway On-System Curb Ramps in Colorado,gis_y,Latitude of the curb ramp
State Highway On-System Curb Ramps in Colorado,sec_route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Used when two State facilities cross to identify the lower priority facility"
State Highway On-System Curb Ramps in Colorado,sec_ref_pt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Starting Point of a roadway segment.
State Highway On-System Curb Ramps in Colorado,ownership,"Who owns the property? CDOT, Local, Private, Unknown. Will be populated at a future date"
State Highway On-System Curb Ramps in Colorado,is_crosswal,"[need clarification, if the curb ramp leads to a crosswalk?]"
State Highway On-System Curb Ramps in Colorado,is_audible,Is an audible pedestrian signal present? Yes/No
State Highway On-System Curb Ramps in Colorado,eng_region,CDOT engineering region 1-5
State Highway On-System Curb Ramps in Colorado,priority,"Intersection priority according to priority schedule. High Priority (Level 1). Intersections and roadway segments serving Level 1 facilities including: County-owned facilities, Public schools, Hospitals, health clinics, and health centers (public and private), Public housing and homeless shelters, including senior facilities and rehabilitation facilities, Sheriff’s facilities, Transportation hubs (includes bus lines and transit stations), Department of Motor Vehicle offices, County parks, Prisons. Medium Priority (Level 2). Intersections and roadway segments serving Level 2 facilities including: Shopping malls, supermarkets, and strip retail centers, Major employment sites, Housing complexes, including apartments. Low Priority (Level 3). Single family residential areas, Industrial areas, Other areas not classified as high or medium priority"
State Highway On-System Curb Ramps in Colorado,gfp,Good/Fair/Poor condition
State Highway On-System Curb Ramps in Colorado,curb_type,"Curb type 1, 2, 3, Blended, Modified. Data will be populated at a future date"
State Highway On-System Curb Ramps in Colorado,insp_date,Inspection date and time
State Highway On-System Curb Ramps in Colorado,obstr_type,"Is there an obstruction in the pedestrian access route?: Fire hydrant, speed limit sign, signal pole, etc…"
State Highway On-System Curb Ramps in Colorado,is_trunc,"Do the truncated domes continuously span the width of the curb ramp and are they 2 feet in depth? Yes/no Note: There is a 2"" tolerance"
State Highway On-System Curb Ramps in Colorado,in_complian,Dated standard or none. Will be populated at a future date
State Highway On-System Curb Ramps in Colorado,turn_sp_xslo,"Landing cross slope in % (perpendicular to street, same direction as curb ramp running slope), for Type 2 is the turning space."
State Highway On-System Curb Ramps in Colorado,run_slope,Running slope (bottom to top) of ramp in % (to nearest tenth)
State Highway On-System Curb Ramps in Colorado,xslope,Cross slope (side to side) of ramp in %
State Highway On-System Curb Ramps in Colorado,picture,These are images that were taken as part of the collection. I probably just sent the feature class and not the relationship tables with the pictures.
State Highway On-System Curb Ramps in Colorado,turn_sp_len,Length of the turning space in inches
State Highway On-System Curb Ramps in Colorado,turn_sp_wid,Width of the turning space in inches
State Highway On-System Curb Ramps in Colorado,clear_sp_wid,No longer a valid field
State Highway On-System Curb Ramps in Colorado,clear_sp_len,No longer a valid field
State Highway On-System Curb Ramps in Colorado,ramp_wid,Ramp width in inches
State Highway On-System Curb Ramps in Colorado,wing_slope,Wings angle of slope in %
State Highway On-System Curb Ramps in Colorado,global_id,A 36 character string that uniquely identifies a feature or table row within a geodatabase and across geodatabases.
State Highway On-System Curb Ramps in Colorado,complete,Yes/No Note: No is default only need to change when completed
State Highway On-System Curb Ramps in Colorado,comments,Comments about the curb ramp
State Highway On-System Curb Ramps in Colorado,is_clear_spa,"Is clear space a minimum of 48"" X 48""? Yes/No"
State Highway On-System Curb Ramps in Colorado,counter_slo,max 5 degrees & if gutter plus ramp slope > 11 degrees then a 24: level strip is required between the ramp & gutter.
State Highway On-System Curb Ramps in Colorado,adaag,
State Highway On-System Curb Ramps in Colorado,prowag,
State Highway On-System Curb Ramps in Colorado,adaag2,
State Highway On-System Curb Ramps in Colorado,adaag3,
State Highway On-System Curb Ramps in Colorado,adaag_wo,
State Highway On-System Curb Ramps in Colorado,adaag2_wo,
State Highway On-System Curb Ramps in Colorado,adaag3_wo,
State Highway On-System Curb Ramps in Colorado,isGutterStrip,"{no longer supported} Is a 24"" level gutter strip present? Yes/No"
Business Entities in Colorado,entityid,The state assigned identification number (unique) for the business entity.
Business Entities in Colorado,entityname,The name of the business entity as selected by the business owner.
Business Entities in Colorado,principaladdress1,Principal address for the business entity.
Business Entities in Colorado,principaladdress2,Principal address for the business entity.
Business Entities in Colorado,principalcity,Principal city for the business entity.
Business Entities in Colorado,principalstate,Principal state for the business entity.
Business Entities in Colorado,principalzipcode,Principal zip code for the business entity.
Business Entities in Colorado,principalcountry,Principal country for the business entity.
Business Entities in Colorado,mailingaddress1,Mailing address for the business entity.
Business Entities in Colorado,mailingaddress2,Mailing address for the business entity.
Business Entities in Colorado,mailingcity,Mailing city for the business entity.
Business Entities in Colorado,mailingstate,Mailing state for the business entity.
Business Entities in Colorado,mailingzipcode,Mailing zip code for the business entity.
Business Entities in Colorado,mailingcountry,Mailing country for the business entity.
Business Entities in Colorado,entitystatus,Entity status for the business entity.
Business Entities in Colorado,jurisdictonofformation,Jurisdiction of formation
Business Entities in Colorado,entitytypeverbatim,"Same data as entity type, but full entity type names."
Business Entities in Colorado,entitytype,Entity type abbreviation used by the Secretary of State.
Business Entities in Colorado,agentfirstname,"First name of agent. A registered agent for a business needs to have a Colorado address and serves as the contact for the entity. In the event of litigation, the service of process goes to the registered agent."
Business Entities in Colorado,agentmiddlename,"Middle name of agent. A registered agent for a business needs to have a Colorado address and serves as the contact for the entity. In the event of litigation, the service of process goes to the registered agent."
Business Entities in Colorado,agentlastname,"Last name of agent. A registered agent for a business needs to have a Colorado address and serves as the contact for the entity. In the event of litigation, the service of process goes to the registered agent."
Business Entities in Colorado,agentsuffix,Agent Suffix
Business Entities in Colorado,agentorganizationname,Agent Organization Name
Business Entities in Colorado,agentprincipaladdress1,Agent principal address1
Business Entities in Colorado,agentprincipaladdress2,Agent principal address2
Business Entities in Colorado,agentprincipalcity,Agent principal city
Business Entities in Colorado,agentprincipalstate,Agent principal state
Business Entities in Colorado,agentprincipalzipcode,Agent principal zip code
Business Entities in Colorado,agentprincipalcountry,Agent principal country
Business Entities in Colorado,agentmailingaddress1,Agent mailing address1
Business Entities in Colorado,agentmailingaddress2,Agent mailing address2
Business Entities in Colorado,agentmailingcity,Agent mailing city
Business Entities in Colorado,agentmailingstate,Agent mailing state
Business Entities in Colorado,agentmailingzipcode,Agent mailing zip code
Business Entities in Colorado,agentmailingcountry,Agent mailing country
Business Entities in Colorado,entityformdate,Entity form date
Municipal Annexations in Colorado,rec_num,
Municipal Annexations in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.
Municipal Annexations in Colorado,gid,
Municipal Annexations in Colorado,__gid,
Municipal Annexations in Colorado,county,County of annexation
Municipal Annexations in Colorado,city,City of annexation
Municipal Annexations in Colorado,cl_re_date,
Municipal Annexations in Colorado,descr,
Municipal Annexations in Colorado,ord_num,
Municipal Annexations in Colorado,type,
Municipal Annexations in Colorado,notes,
Weather Station in Lowry Range Colorado 2014,date,The date and time the data was recorded ( eg 02/20/2010 10:30)
Weather Station in Lowry Range Colorado 2014,globalhorizontal,"Total Hemispheric shortwave irradiance as measured by an Kipp & Zonen Model CMP22 with calibration factor traceable to the World Radiometric Reference (WRR), measured in W/m2"
Weather Station in Lowry Range Colorado 2014,directnormal,"Direct (Beam) shortwave irradiance as measured by a Kipp & Zonen Model CH1 mounted in an automatic sun-following tracker (Model 2AP) with calibration factor traceable to the World Radiometric Reference (WRR), measured in W/m2"
Weather Station in Lowry Range Colorado 2014,diffusehorizontal,"Diffuse (Sky) shortwave irradiance, measured in W/m2"
Weather Station in Lowry Range Colorado 2014,airtemperature,"The air temperature, measured in degrees Celsius"
Weather Station in Lowry Range Colorado 2014,stationpressure,"The barometric pressure at the station, measured in mBar"
Weather Station in Lowry Range Colorado 2014,avgwindspeed10m,"The average wind speed over that minute, measured at 10 meters in m/s."
Weather Station in Lowry Range Colorado 2014,avgwinddirection10m,"The average wind direction over that minute, measured at 10 meters in degrees from north."
Weather Station in Lowry Range Colorado 2014,peakwindspeed10m,"The highest value of wind speed over that minute, in m/s"
Weather Station in Lowry Range Colorado 2014,zenithangle,"Solar zenith angle (refracted), measured in degrees."
Weather Station in Lowry Range Colorado 2014,azimuthangle,"Solar azimuth angle, measured in degrees."
Weather Station in Lowry Range Colorado 2014,relhumidity,"The relative humidity, as a percentage (eg 86.3)"
Weather Station in Lowry Range Colorado 2014,precipitation,"The amount of precipitation to fall during that minute, measured in mm"
Weather Station in Lowry Range Colorado 2014,precipitationaccumulated,"The amount of precipitation to fall during that day up to that minute, measured in mm"
Weather Station in Lowry Range Colorado 2014,airmass,The airmass (pressure corrected) calculated
Other State Solicitation of Charities’ Registrants in Colorado,entityid,Entity ID associated with the charitable organization
Other State Solicitation of Charities’ Registrants in Colorado,fein,Federal Employer Identification Number associated with the charitable association. Note: registrant types PS and PFC have had FEINs deprecated
Other State Solicitation of Charities’ Registrants in Colorado,name,Name of the charitable organization
Other State Solicitation of Charities’ Registrants in Colorado,stateabbreviation,Two-digit state code where the charitable organization is registered
Other State Solicitation of Charities’ Registrants in Colorado,authorizedsoliciting,Indicator for whether or not the charity has been authorized to solicit in Colorado
Other State Solicitation of Charities’ Registrants in Colorado,registranttypeabbr,Abbreviation for registrant type
Other State Solicitation of Charities’ Registrants in Colorado,registranttype,"Type of organization: Professional Fundraising Consultant, Paid Solicitor, or Charitable Organization"
Counties in Colorado,pop_2010,This field has been deprecated. Please refer to ACS data for population data.
Counties in Colorado,county,Name of county
Counties in Colorado,,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.
Counties in Colorado,co_fips,Federal Information Processing Standards county code
Counties in Colorado,househo_20,This field has been deprecated. Please refer to ACS data for demographic data.
Counties in Colorado,shape_star,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source"
Counties in Colorado,shape_stle,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source"
Counties in Colorado,shape_st_1,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source"
Counties in Colorado,shape_st_2,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source"
Cellular Performance Tests in Colorado 2015,devicenettype,Network type
Cellular Performance Tests in Colorado 2015,devicenetworktype,Network technology
Cellular Performance Tests in Colorado 2015,deviceroaming,Indicates whether or not the device is roaming
Cellular Performance Tests in Colorado 2015,devicesignalstrength,Signal strength (RSSI) in dBm
Cellular Performance Tests in Colorado 2015,latencyaverage,Contains the average latency results based on ping results to the configured URL
Cellular Performance Tests in Colorado 2015,latencystatus,"a string with the possible values ""success"", ""timeout"", or ""error"""
Cellular Performance Tests in Colorado 2015,downloadspeed,Result of the download test in kbps
Cellular Performance Tests in Colorado 2015,downloadstatus,"A string with the possible values ""success"", ""timeout"", or ""error"""
Cellular Performance Tests in Colorado 2015,islatency,"Whether or not the test is considered a latency (limited) test. If true, download and upload tests were omitted."
Cellular Performance Tests in Colorado 2015,uploadspeed,Result of the upload test in kbps
Cellular Performance Tests in Colorado 2015,uploadstatus,"A string with the possible values ""success"", ""timeout"", or ""error"""
Cellular Performance Tests in Colorado 2015,devicenetop,Common name of cellular carrier provider
Cellular Performance Tests in Colorado 2015,devicesimop,SIM provider
Cellular Performance Tests in Colorado 2015,addresszip,"Using GPS location, the server looks up address using third-party REST API. Not done on device."
Cellular Performance Tests in Colorado 2015,latitude,Geographic latitude of test
Cellular Performance Tests in Colorado 2015,longitude,Geographic longitude of the test
Cellular Performance Tests in Colorado 2015,location,Geographic location of the test
Construction Projects Endpoints for Funded Roads in Colorado 2017,saplongid,CDOT project ID code with appended record ID
Construction Projects Endpoints for Funded Roads in Colorado 2017,SAPPROJECT,
Construction Projects Endpoints for Funded Roads in Colorado 2017,project_id,CDOT project ID code
Construction Projects Endpoints for Funded Roads in Colorado 2017,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.
Construction Projects Endpoints for Funded Roads in Colorado 2017,SAPPROJE_1,
Construction Projects Endpoints for Funded Roads in Colorado 2017,saprecid,Location record ID
Construction Projects Endpoints for Funded Roads in Colorado 2017,route,CDOT route ID
Construction Projects Endpoints for Funded Roads in Colorado 2017,refpt,Begin reference point (milepost)
Construction Projects Endpoints for Funded Roads in Colorado 2017,endrefpt,End reference point (milepost)
Construction Projects Endpoints for Funded Roads in Colorado 2017,beginx,Begin X coordinate in UTM zone 13 meters
Construction Projects Endpoints for Funded Roads in Colorado 2017,beginy,Begin Y coordinate in UTM zone 13 meters
Construction Projects Endpoints for Funded Roads in Colorado 2017,endx,End X coordinate in UTM zone 13 meters
Construction Projects Endpoints for Funded Roads in Colorado 2017,endy,End Y coordinate in UTM zone 13 meters
Construction Projects Endpoints for Funded Roads in Colorado 2017,guid,Internal ID
Construction Projects Endpoints for Funded Roads in Colorado 2017,lrs_date,Date of last GIS edit
Construction Projects Endpoints for Funded Roads in Colorado 2017,tpr,Project exists in theseTransportation Planning Regions
Construction Projects Endpoints for Funded Roads in Colorado 2017,mpo,Project exists in these Metropolitan Planning Organizations
Construction Projects Endpoints for Funded Roads in Colorado 2017,proj_pspid,
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzconshd_endate,
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzproj_endate,
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzf_imp_cd,Federal Improvement Type Code
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzac_ad_dt,Actual Advertisement Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzshelf_dt,Re-Advertisement Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzactletdate,
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzconexdate,
Construction Projects Endpoints for Funded Roads in Colorado 2017,zzest_pcd,Initial Completion Date
Construction Projects Endpoints for Funded Roads in Colorado 2017,ztp_arra_pspid,
Construction Projects Endpoints for Funded Roads in Colorado 2017,zconstrtdate,
Construction Projects Endpoints for Funded Roads in Colorado 2017,fedimpcode,Federal Improvement Code
Construction Projects Endpoints for Funded Roads in Colorado 2017,fedimpdesc,Federal Improvement Code description
Construction Projects Endpoints for Funded Roads in Colorado 2017,laneq,Amount of lanes
Construction Projects Endpoints for Funded Roads in Colorado 2017,rdcf,"Facility Type: F=Freeway, D=Divided, U=Undivided"
Construction Projects Endpoints for Funded Roads in Colorado 2017,rdcs,"Functional system (FHWA functional class): 1=Interstate, 2=Principal Arterial - Freeways and Expressways, 3=Principal Arterial - Other, 4=Minor Arterial, 5=Major Collector, 6=Minor Collector, 7=Local"
